Nas,Clatell,Espatlla dreta,Colze dret,Canell dret,Espatlla esquerra,Colze esquerre,Canell esquerre,Cadera centre,Cadera banda dreta,Genoll dret,Turmell dret,Cadera banda esquerra,Genoll esquerre,Turmell esquerre,Ull dret,Ull esquerre,Orella dreta,Orella esquerre,Dit gros esquerre,Dit petit esquerre,Taló esquerre,Dit gros dret,Dit petit dret,Taló dret
"[-0.012789881897166556, -0.3294512180336028]","[0.0013126250241535184, -0.24216409524232022]","[0.0012056397527394284, -2.3450590446643673]","[0.00037883391435794425, -2.9302646931742524]","[0.001215872420206733, -2.8444111376623638]","[0.00132182276643712, 1.9403819071657185]","[0.0004890663471517411, 3.1155919850306413]","[0.0010941698055292924, 2.781848715489743]","[0.00046219651675898164, -0.15790752389423449]","[-0.0015329290033108927, -1.4992406502028235]","[-0.0020332861835388196, -1.5013807264076253]","[-0.00017568817292211978, -1.5838064415238025]","[0.000613498182812243, 1.1067385598647348]","[-0.0014030234359308615, 1.774378730388759]","[0.0004654188322894029, 2.193722112489079]","[0.0005473747773770416, -0.9149235198428973]","[0.002390356739346709, -0.07372336481828197]","[0.0008067606658704857, -1.5832902594487988]","[0.0025006847330992965, 0.5976049388634461]","[0.0015214304971590629, 3.036445371589037]","[0.0009290051111842693, 3.4518168427084284]","[8.507666020667353e-05, 1.7708275934215776]","[0.00020207767571161323, -2.171317050939225]","[0.0005318298762105641, -2.4284089947944607]","[-0.00013893160573287804, -1.1640080363621046]"
"[-0.0006294027100744475, -0.33303111912881184]","[0.0012713963242725486, -0.24428316606518885]","[0.0010398869967391795, -2.3483081002986332]","[0.00025749788709736267, -2.9352343190570997]","[0.0006189641626278625, -2.8481066760093654]","[0.0009714498561275583, 1.9393494104715532]","[-0.0006252370126499597, 3.114611664558202]","[0.00010781195898678129, 2.9449637373357085]","[-8.344967545931766e-05, -0.1622807936719432]","[-0.0020622917173042854, -1.5038079047334092]","[-0.002451407247785155, -1.5026418689455399]","[-0.0008502372586901197, -1.5859502797443419]","[0.000275212379151737, 1.1024803366095592]","[-0.0019217144876933815, 1.7692090264889435]","[0.00016990637829611838, 2.190876351137442]","[-0.00020917782389057515, -0.9183497553820881]","[0.002176361343555507, -0.07747543180710244]","[0.0008785577674499403, -1.5882314412772853]","[0.0014941220249436802, 0.5146475274736226]","[0.001350164050303401, 3.0321236886798317]","[0.0002972761384964476, 3.3677696846721097]","[-0.00034463899958400506, 1.76832984921144]","[-0.0004546623635547081, -2.1759722207204764]","[-0.00033923133728588645, -2.4325842914301883]","[-0.0009371566340763043, -1.0881039083669526]"
"[-0.0010612242556749456, -0.34086004717813745]","[0.0018412447059803821, -0.252254051096524]","[0.0015217942451599964, -2.3562761643198757]","[0.00021397453391522236, -2.943600690972625]","[0.0003600325366290449, -2.855198454395544]","[0.0006928904937686571, 1.8524983636202368]","[9.810564010941478e-05, 3.111318704944756]","[4.350943497646754e-05, 3.0239039182742564]","[0.0005309195196831604, -0.1673333591305438]","[-0.0019954651044412426, -1.4293746680074826]","[-0.002296673143048904, -1.3452033799884613]","[-0.0009738071883429244, -1.5935504601391333]","[0.0003000369801421402, 1.175880642364578]","[-0.0020494107853146768, 1.7616157469206724]","[0.00022829276419776697, 2.1864151293510856]","[-4.865653598225703e-06, -0.9277177882351663]","[0.0014775815551928632, -0.16543095067957098]","[0.0008313497991393747, -1.5960332892941234]","[0.0008925823083726768, 0.5071634999745711]","[0.0012875662889490986, 3.028030048241042]","[0.0001038694763793641, 3.3638178748067813]","[-0.0004704315163318027, 1.7637405275232265]","[-0.0004153005419914029, -2.1839152157453294]","[-0.0002518419719889317, -2.4414260857284553]","[-0.0009047301218625543, -1.1762098511102173]"
"[-0.0009924350858706496, -0.4261565069977108]","[0.0006236959872340715, -0.25862735775605583]","[0.0012420226123668182, -2.363302613024811]","[-0.0002596314533064332, -2.9519858786708983]","[0.00012177232264609526, -2.8658322572806783]","[0.00021742416690950463, 1.9263976587176086]","[0.000335505280340877, 3.10560802270201]","[0.0004973398770431669, 3.0201088541483516]","[0.0012034853717057942, -0.17383260774953385]","[-0.0015933171490983727, -1.4375398869166334]","[-0.001992803644296497, -1.183125265582796]","[-0.0006540126897799808, -1.6013578574982685]","[0.0002722148062236598, 1.1695934930614789]","[-0.0016106306352078068, 1.7558254997299079]","[0.0005908581517871224, 2.180199955166939]","[-0.00018724891141191986, -0.9343087632730748]","[0.0018718389399027585, -0.17242573009489068]","[0.0006171536785461676, -1.6034539680429127]","[0.001846054321719224, 0.5001891524005175]","[0.0004791270387596134, 3.0202940211934264]","[-0.00015103180800859803, 3.35762037104895]","[-0.0006747934655479353, 1.7582747992679357]","[-0.0006388700867376504, -2.189433696858925]","[-0.0003291360682437639, -2.447202878840045]","[-0.0008345815576752871, -1.1855265588498785]"
"[-0.000836727053571296, -0.4191419422646869]","[0.0012133623185466489, -0.2536994114724378]","[0.0005835959294775455, -2.3453595748090788]","[-3.5459402124457384e-06, -2.9299809415844527]","[0.0005511507970807147, -2.922554012169728]","[0.0006414619609491977, 1.917047158562565]","[-0.0005307075688072702, 3.090491298149612]","[0.00047336993764008484, 3.003071680984674]","[0.000975168655823323, -0.16985137881796827]","[-0.0017744959495602937, -1.5054356233450523]","[-0.0022722145473729723, -1.091157129805564]","[-0.0004745583820209002, -1.5892505587323222]","[0.000212785996471328, 1.1655922023235168]","[-0.001769366329448565, 1.748030122912741]","[0.0005161332495574314, 2.1701633767179627]","[-0.0003539628764364536, -0.9239249129619392]","[0.0017426837871885171, -0.16772049887972443]","[0.0008931441669944876, -1.591154625045344]","[0.0016620804959258482, 0.49879226798919135]","[0.0013876629313571886, 3.0038290243341272]","[-0.0001862292420788089, 3.420513883888846]","[-0.0008384305893830488, 1.7501016224598325]","[-0.0009492535792616816, -2.1728765738691145]","[8.000458208061349e-06, -2.428787564204822]","[-0.0008711086270666426, -1.2567378903608237]"
"[-0.0007725817325098648, -0.4098564226707649]","[0.0013475559175273992, -0.24295465896304447]","[0.0013118702828505962, -2.3305412599102207]","[0.00018528933318363806, -2.993976159569889]","[5.787387094591883e-05, -2.909526721817442]","[0.0009696231789619869, 1.924254864176126]","[-0.0003102931024423942, 3.094342636684034]","[0.00011646466394719093, 3.010398796854922]","[0.0005316003626879968, -0.15735109672021508]","[-0.0018693887299494722, -1.413353082502694]","[-0.002496433462153019, -1.1619625027427283]","[-8.027586210629785e-05, -1.57859269303745]","[0.0005975299596808878, 1.177155175848879]","[-0.0017691256081108129, 1.7573550450758029]","[0.0004997536184935479, 2.175024628024458]","[-0.00026503730274663313, -0.9145253098217638]","[0.001243163353515166, -0.15847994131443063]","[0.00038496671015523745, -1.577717619708601]","[0.0009224550553900297, 0.507085275749136]","[0.000937872335815947, 3.0092796752976936]","[-0.00011293444190856592, 3.3446855592086275]","[-0.0004220102277162844, 1.756202865192818]","[-0.0008610642176395044, -2.1637304065983307]","[0.0004933624308020501, -2.497143554078735]","[-0.0006402363866747223, -1.246073092656171]"
"[-0.001218281910440319, -0.40353150204798777]","[0.000587924355024037, -0.23689533135134422]","[0.0012277758618217513, -2.3238355976947056]","[-0.00011011679273303083, -2.9881618422007783]","[-0.00011014812853837774, -2.9038057630481893]","[0.0005248957060632334, 1.8513196983432063]","[0.0003155373922610901, 3.102389564727844]","[0.00033307025013761584, 3.0203982639658666]","[0.0011164501906926283, -0.15298070342792378]","[-0.0019591382135697153, -1.4870268707841152]","[-0.002241996083167825, -1.1565286711459328]","[-9.594161387791943e-05, -1.572806484296842]","[0.000563483376423306, 1.1809711450533134]","[-0.0019814948863299472, 1.7647301093373138]","[-0.00012861156487672086, 2.180950553275622]","[-0.0003054860433724263, -0.9073610539652786]","[0.002164028953116454, -0.15098736637991667]","[0.00090284445091119, -1.5726061782325056]","[0.0016357718457179588, 0.515437716183777]","[0.00038574763806549, 3.0162530952655473]","[-7.384322411933472e-05, 3.3511424705665593]","[-0.0003504405796370755, 1.763043065543025]","[-0.0008463961691420601, -2.158141157208304]","[0.00045171520573989007, -2.4922015960052053]","[-0.0007873500161698912, -1.2397655644730308]"
"[-0.0012554298099122724, -0.3956427519376666]","[0.0014267137221699048, -0.23029941749174226]","[0.000529328324676726, -2.31081773095727]","[3.436939792456142e-05, -2.9694195915831654]","[0.0003387992959799926, -2.8896264251859893]","[0.0006483244331777413, 1.851402936101485]","[-0.0002620728828008398, 3.0970315527013215]","[0.00044244536994589165, 3.0125177224330546]","[0.0012699341501422217, -0.1459337738406844]","[-0.0017659279391647404, -1.4749144570006683]","[-0.002076951286646772, -1.143989043003316]","[0.00010708556374252549, -1.5595236884571384]","[0.00033195992819864896, 1.1824623954403082]","[-0.0018660942684110208, 1.7643689648006826]","[3.871458608491167e-05, 2.181460054005191]","[-0.0005909054483654213, -0.8979314606375634]","[0.0012984758127296682, -0.14579430408331118]","[0.0007878859370140844, -1.5592340950025925]","[0.001287679051116608, 0.5180032892747279]","[0.0014258785456036033, 3.012027641202285]","[-0.00019922088052756284, 3.344729841796173]","[-0.00039486879436226215, 1.7647321672938419]","[-0.001082577581722458, -2.2211808084554914]","[0.0004410559312415916, -2.5568617537632776]","[-0.000914601157835344, -1.227567263649204]"
"[-0.0011003814276858382, -0.4046058088764317]","[0.0011084656271454709, -0.23676680427246574]","[0.001216125480978742, -2.3255203040309795]","[0.0003135614491861782, -2.9877079061597476]","[7.787787043290882e-05, -2.9095643699732934]","[0.0010564434057091126, 1.8521948033652844]","[-0.0004553624824773725, 3.1027646454983873]","[0.0004104605408460731, 3.0194291094650083]","[0.0009957895924102695, -0.15254729598569605]","[-0.0014236610863391937, -1.4880426572482108]","[-0.0017353129299673246, -1.1566848314678801]","[-0.0001500335719134317, -1.57077526391184]","[0.0005755025791998553, 1.181782077673061]","[-0.0014991962996253995, 1.7647622650177843]","[-3.1232136417637476e-05, 2.182416301776982]","[-0.00047459814021470683, -0.9084019206385202]","[0.0013954639198053868, -0.15287112740525513]","[0.0003300971822161691, -1.5714414036187407]","[0.0007726293717701686, 0.5144793005686753]","[0.0008002611020849294, 3.015293208481871]","[-0.00024415296620491493, 3.350251592313005]","[-0.0004937112899368293, 1.76588643655235]","[-0.001136810942906976, -2.155823401748132]","[0.00027447379493730415, -2.4905133847630547]","[-0.0005826986430329259, -1.237993260612157]"
"[-0.00101134917818299, -0.4006351188178643]","[0.0004735544460304399, -0.23103763516983805]","[0.001448170807908713, -2.331318347146863]","[-1.2256771483380403e-05, -2.922301717821657]","[-3.803435743799548e-05, -2.9209660040665533]","[0.0010145359089536315, 1.8710069039453363]","[0.00017954758022355603, 3.128527095134894]","[0.00010327650532525583, 3.0438555641447]","[0.0010121573950911279, -0.14803941591680722]","[-0.0015034492666205295, -1.5706758444968836]","[-0.00202458748311749, -1.1565600566228946]","[-0.0005330997044192668, -1.574627697976727]","[0.0005658186137382466, 1.1957923474743388]","[-0.0016280197493744038, 1.7806852548438101]","[0.0006433272038844143, 2.202582920840482]","[-0.0005306562090611223, -0.9072811315774595]","[0.0020728197689105095, -0.14739161920920382]","[0.0009790005869403484, -1.5751301807703137]","[0.0012342517242588033, 0.5244860992362234]","[0.00020561853851878525, 2.9596586274191403]","[-0.0003555119661042418, 3.2953161549901377]","[-0.0005211669994770879, 1.7853157291948363]","[-0.0013627843963727672, -2.1626318887779585]","[0.00022407710572172666, -2.499547335786455]","[-0.0006352401038542634, -1.239082703066416]"
"[-0.0011998457135923744, -0.39340420712698265]","[0.0013320168617571495, -0.2255667237176512]","[0.0011021591641817157, -2.325823679059733]","[-0.00026786442503989665, -2.993018066561256]","[6.16327417821259e-05, -2.9949850152797213]","[0.0006288239029629592, 1.957037860807954]","[5.0054135461711664e-05, 3.134066824007942]","[0.0003811099608268669, 3.051359076850093]","[0.001011573484657775, -0.14129813914390515]","[-0.0016921553251323445, -1.4840503605262374]","[-0.00218742839476076, -1.0669857957655329]","[-6.075779057688465e-05, -1.5678683083413498]","[0.0004981297629514166, 1.1227844514421441]","[-0.0016416465697796825, 1.7085838588036395]","[0.0005785053211541865, 2.1267757493970167]","[-0.0005609400134463012, -0.9003358209481704]","[0.0015526707331959119, -0.14046536632827616]","[0.0010071679568319984, -1.5694687783060517]","[0.0014696690599247614, 0.5305743569887742]","[0.001132464608522503, 2.9669662124319465]","[-0.0006608795555209364, 3.3006438945071324]","[-0.0008026142731834981, 1.7889694321759568]","[-0.0013611950643621085, -2.1565134305651825]","[0.00041260040614465247, -2.4939973051978175]","[-0.0007832509749609631, -1.2339807205447155]"
"[-0.001295977176407567, -0.392977470644352]","[0.001454972017093722, -0.22593347933967278]","[0.0005351691763848517, -2.328218294419556]","[-0.0001027357161802254, -2.9168999446183617]","[0.0003912047499526174, -2.9945287405704333]","[0.0005101210354880592, 1.8774419619493803]","[-0.00024797267498139093, 3.1354763571724886]","[0.000717677661760335, 3.05142373368768]","[0.0012846257287619461, -0.14188868799999316]","[-0.0017144911784910282, -1.484865634198157]","[-0.002217637665796252, -1.0659222332282996]","[-6.634473228944295e-05, -1.5679167221246344]","[0.0008178272020893515, 1.1226875064418527]","[-0.0015549513765349325, 1.7087865067844732]","[0.0005644622787527596, 2.126666694053111]","[-0.0006680928787025717, -0.9004897057838481]","[0.0009544987082284168, -0.14040743355252983]","[0.00037618485249513395, -1.5687444819629226]","[0.0008429480044888027, 0.5301406926220389]","[0.0011788200640943892, 3.04990038146015]","[-3.8363361259005775e-05, 3.3038958689653937]","[-0.00042149407976487283, 1.7910543801980816]","[-0.0009982007777880328, -2.1580830533343973]","[0.000613987785321512, -2.4947629864722813]","[-0.0009162376467165753, -1.3158352150852142]"
"[-0.0010897140824163891, -0.37794350006033955]","[0.0009513524817520016, -0.2115617696164295]","[0.0008668908548171881, -2.300090691593346]","[0.00013717544396714095, -2.960719228340255]","[0.0004258776200547293, -2.962246357608269]","[0.0006756977254641134, 1.8775238422719411]","[-0.0006009619149326544, 3.1260281079315786]","[0.0006490948531432545, 3.0437848310392512]","[0.0009767237308210257, -0.12817594137745003]","[-0.0017752040578711348, -1.4630016629488694]","[-0.0018518543256158223, -1.0473862127065907]","[0.0001174970101600676, -1.5452298678872622]","[0.0009735131539401824, 1.1284788480163472]","[-0.0017796044758734502, 1.7100034500178782]","[0.00042289589529701037, 2.1248691920999283]","[-0.00054050886986071, -0.957694959610279]","[0.0012334435853035264, -0.12651219213989967]","[0.00018431423336138546, -1.545282376630002]","[0.0003534520954460585, 0.5402000658838843]","[0.0009291215396173012, 3.0417447691453994]","[2.8989163737152004e-05, 3.2937138054868593]","[-0.00034730545028085477, 1.7913715811978763]","[-0.0010692579312282418, -2.210480146379394]","[0.0009012794472936323, -2.5472717085042405]","[-0.0007729077260964915, -1.2941218776883217]"
"[-0.0010074334706408584, -0.3667912323461201]","[0.00035887455554498915, -0.1991162646554288]","[0.0011598673372921688, -2.2939377316238536]","[0.00025143776490533804, -2.956906214255643]","[9.382767971577353e-05, -2.9580740166379393]","[0.0011144710005560577, 1.8962186452810785]","[-0.000633948890563079, 3.147953593453614]","[1.9470560061454605e-05, 2.983514340422178]","[0.00027345881664548016, -0.19328359154602356]","[-0.0014582521979100275, -1.5330084265232504]","[-0.0015110949128650621, -1.0375876479404906]","[0.00043001560930273496, -1.5362675459901676]","[0.0009615873989450222, 1.1448433777081202]","[-0.0014965983315569083, 1.7268341514307504]","[0.00043068986889846305, 2.0613473649382206]","[-0.00034990656007794174, -0.9476288316912431]","[0.0016794014979937737, -0.11401735919713955]","[0.0004887780949456874, -1.537241283508934]","[0.000717102583753328, 0.5562280682168574]","[0.0003677789725224717, 3.0643467444837698]","[-0.00014656777007471104, 3.3160859300940313]","[-0.0004523159264155469, 1.807606093072549]","[-0.0012853836561628987, -2.2045157631503507]","[0.0008665834600316849, -2.541992610428007]","[-0.0008718434848473743, -1.2846097896065631]"
"[-0.0009176240373090376, -0.3793816575900293]","[0.0005069413946311798, -0.21075092186351546]","[0.0011952849909700517, -2.3074145794566]","[0.0003728108219494448, -2.9728417933197746]","[3.82804732269603e-06, -2.9732679268098696]","[0.0011485956040445011, 1.8862007297263115]","[-0.0004382982238085583, 3.137324751642628]","[0.00012051862337304044, 2.9719576224622504]","[4.418515099095147e-05, -0.12657076474110204]","[-0.0014501269202954244, -1.4672184527329506]","[-0.0017667162955412787, -1.0522020190373764]","[0.0003476218343040082, -1.5506874111210356]","[0.0008711582728407023, 1.213085540526367]","[-0.0015445238932610677, 1.717803317949701]","[0.0003896406618080759, 2.0512788886591102]","[-0.0005517902436517025, -0.8852431128682238]","[0.0019537975695462263, -0.12608947307874932]","[0.0009259760920233586, -1.5517695851732018]","[0.0008203179131204722, 0.543867544665392]","[0.00014312111832395113, 3.055379232684769]","[-0.00020479313361340275, 3.3079157990486636]","[-0.0005435712412486402, 1.7967224593146727]","[-0.0010667768604101036, -2.2206454051160134]","[0.0006938076265085293, -2.5581309261359984]","[-0.0010533848726179895, -1.299321857635421]"
"[-0.000945443610113694, -0.36713672895544763]","[0.0009214739793046907, -0.19775483911234953]","[0.001274438792744213, -2.2967814730661353]","[0.0002354018077598317, -2.9623446746690445]","[-0.00017326521460976353, -2.9628532453688416]","[0.001204900008935421, 1.9812033778442304]","[-0.00016991126931642527, 3.1537788349288554]","[-0.0001468554001491616, 2.987214846907496]","[-2.4678281759346147e-05, -0.1154142627179129]","[-0.001271903191018835, -1.4572929546190583]","[-0.0014758535986374095, -1.1200446276809608]","[0.00020644910163301457, -1.5392343933941537]","[0.0009607156163271171, 1.1482046319006167]","[-0.0012836300722862965, 1.7320037349436337]","[6.62942639624635e-05, 1.9826699765385543]","[-0.00026116243581367015, -0.9499260187069366]","[0.0018115003751910752, -0.113671150079223]","[0.0011305769629073408, -1.5404870113329432]","[0.0005736922756328537, 0.5575991820856749]","[7.28104787225298e-06, 3.0707894767002877]","[-0.00025135250364843246, 3.32335907223028]","[-0.0006663304774177827, 1.7312933970017461]","[-0.001339279801275791, -2.2098481270763166]","[0.0005867721851865039, -2.547487774985151]","[-0.0009698305614101772, -1.287839249316911]"
"[-0.001139655031991605, -0.37087023166446437]","[0.0010079933155121977, -0.2013273495401589]","[0.0012819079711407987, -2.3033230696418054]","[7.026572794212157e-05, -2.9699693584857965]","[-0.0002450295237476916, -2.892725293691429]","[0.00105343626797321, 1.9013921849753783]","[-7.570286221550052e-05, 3.1573555432320646]","[-0.00021163313074707506, 3.0706974865069308]","[0.00011746648591354168, -0.11780043860276908]","[-0.001384831144675172, -1.4623251086593838]","[-0.0015931478250083635, -1.1240042679597326]","[0.00025100426548777503, -1.545147780961487]","[0.0009102138307418529, 1.225563877177081]","[-0.0014261352728512115, 1.7323856791848284]","[-0.0001708814830414084, 1.9822039354203638]","[-0.0003581675832549752, -0.8772207468023154]","[0.0017838125822604001, -0.11670027984521225]","[0.0009874760260717948, -1.5456709436446847]","[0.0009353038997155839, 0.5546941140992308]","[0.0002128582609693685, 3.072375130733312]","[-9.941842095325197e-05, 3.245580641034466]","[-0.0005297251953370802, 1.731171980911367]","[-0.0010151519330505272, -2.217405956136841]","[0.0006939387552593116, -2.636367259218691]","[-0.0010561979821141088, -1.292562488420246]"
"[-0.001239552276116604, -0.36122576540474954]","[0.0011489087565828668, -0.19219361594350032]","[0.001265413381566726, -2.29498111850417]","[-2.7961377829447723e-05, -2.963096878013963]","[-0.0002537400846782637, -2.8858110173498757]","[0.0011912015510608617, 1.9918726982590036]","[-0.00012672395839348867, 3.169400945055251]","[-0.00016790620113698887, 3.0839019373413885]","[0.00036715494620938625, -0.18792101636912734]","[-0.0012104760994814294, -1.5333153122613579]","[-0.0013377657983726348, -1.033865367448757]","[0.000519772111789612, -1.5366887265057734]","[0.0006977282226297575, 1.1565040596058997]","[-0.001267781908147965, 1.7419315001864852]","[-2.1497029318064674e-05, 1.9929540714662728]","[-0.00038899782486864347, -0.9452990407144569]","[0.0015687508788860896, -0.10672791139000669]","[0.0008786926755930606, -1.5379282897247943]","[0.0005782573436160374, 0.5647294284609086]","[0.0001887712586032467, 3.003023253376338]","[-0.00045010877978825416, 3.255408315717096]","[-0.00029726204279004496, 1.7425701372617928]","[-0.0012799032790174894, -2.2095345142926526]","[0.00067678939621452, -2.629639679526601]","[-0.0010117638628128582, -1.284068093280642]"
"[-0.001336796658357618, -0.36247079224543594]","[0.0012376950308389098, -0.1930496146314092]","[0.0013299434572606548, -2.303410281508859]","[-0.00011113265342877339, -2.8968381238586525]","[-0.0002594605805613084, -2.8966557507492703]","[0.0012453374349761788, 1.9195595013088822]","[-7.740334441540644e-06, 3.181346446950119]","[-0.00016086684648338104, 3.0967617005042967]","[0.0005739675931334443, -0.18851437391130021]","[-0.0012288323383023356, -1.5390708160796827]","[-0.0013114922358146701, -1.0349802355975641]","[0.000666759436733794, -1.5425629416027322]","[0.0006920081734174502, 1.1606307658391946]","[-0.001230676692366116, 1.7478151557300565]","[-1.8925511350986005e-05, 2.0004741732677833]","[-0.0003463660447941209, -0.9485093284490473]","[0.0016000544384620042, -0.10676599630950871]","[0.0008978451916829352, -1.5431385720908362]","[0.0004944059416199749, 0.567228976790741]","[0.00024821779759052684, 3.01459647008106]","[-0.0005252059824143961, 3.268212086192528]","[-0.0005514973888082375, 1.748280182580395]","[-0.0013629920546492323, -2.218699692701845]","[0.0005838297508342016, -2.640658469637919]","[-0.0011180789247773586, -1.2895804698710065]"
