Nas,Clatell,Espatlla dreta,Colze dret,Canell dret,Espatlla esquerra,Colze esquerre,Canell esquerre,Cadera centre,Cadera banda dreta,Genoll dret,Turmell dret,Cadera banda esquerra,Genoll esquerre,Turmell esquerre,Ull dret,Ull esquerre,Orella dreta,Orella esquerre,Dit gros esquerre,Dit petit esquerre,Taló esquerre,Dit gros dret,Dit petit dret,Taló dret
"[-0.001456897420629459, -0.3685640542413592]","[0.0011191204549344678, -0.19933710239432323]","[0.001320415371997365, -2.3116349085072514]","[-0.0002523244482150303, -2.904932268223264]","[-0.00039622210047876415, -2.904689750848113]","[0.001232287415624696, 1.9143774380805443]","[-3.6542092575579314e-06, 3.177697177801345]","[-6.780867130031854e-05, 3.0928318379912603]","[0.0003802118569337517, -0.19475534411407924]","[-0.0012434908544192863, -1.5462254764467118]","[-0.0013802172113288028, -0.9625530558021242]","[0.0007108370119837687, -1.5498538905625674]","[0.000644970431998723, 1.1555538531164087]","[-0.00119119535520572, 1.7423425974356093]","[-0.00014243280181506577, 1.9152087856748767]","[-0.00020563704800770298, -0.8778067610321745]","[0.0017225276962368986, -0.11287596874044274]","[0.0008885975132238417, -1.5501072302140948]","[0.0006901090476252627, 0.5617729344150534]","[0.0001809518813982171, 3.0889417215557686]","[-0.0005093371788071048, 3.2640402502583976]","[-0.0004600210722641479, 1.7429948855480855]","[-0.0010713201972803437, -2.226169424279956]","[0.0006350022930249815, -2.6485249932650023]","[-0.0011444724059726551, -1.297731253205865]"
"[-0.001502332176827326, -0.36024795438680846]","[0.001044932704740097, -0.1920645700524577]","[0.0013334717674515443, -2.2973611292931206]","[-0.00013765056364478957, -2.9655071608190537]","[-0.00028111830241677317, -2.964653283789074]","[0.0012111215699477857, 1.9945811773469209]","[-7.459280803807472e-05, 3.173479489350266]","[-4.174276752956946e-05, 3.090024038506233]","[0.0003420454246730822, -0.18854122442014137]","[-0.001046188307139412, -1.5350866742189178]","[-0.0012288869193400533, -0.9518509196133556]","[0.000789575887942, -1.5381757287785807]","[0.000767829358342411, 1.1568611477472268]","[-0.0010793916150669024, 1.7429992019478007]","[-5.115365839304997e-05, 1.9132442434509778]","[-9.670696552083527e-05, -0.8683822341655282]","[0.001788939737958419, -0.10640335190939514]","[0.0010923203218266237, -1.5375257626811334]","[0.0006303738672431291, 0.5660233386881875]","[5.116464893497438e-05, 3.002052156574809]","[-0.0011421104637188186, 3.2561163554411037]","[-0.0006223478229566413, 1.742061015589947]","[-0.0012266648768482792, -2.212670448761631]","[0.000526786094881028, -2.6330245032786874]","[-0.0010476741365005638, -1.2859472184755896]"
"[-0.0013268922778838857, -0.359062922480833]","[0.0007577358026124988, -0.19134505580568364]","[0.0012262458494418675, -2.2903615378598254]","[2.2538706501924812e-06, -2.956233172429761]","[-8.397842584491151e-05, -2.9548233516648277]","[0.0012559701354012442, 1.9878968714191678]","[-0.0002570660514707834, 3.162904806952921]","[0.00024590638249515485, 3.0792280853774114]","[0.0004988538161420125, -0.18701007678003698]","[-0.0013802154753448103, -1.5302742097176147]","[-0.0013206924829887187, -0.9498677076103752]","[0.00072377909280656, -1.5336077568069784]","[0.0009255720168651791, 1.2321137465894398]","[-0.0015108872681206453, 1.7376678522416658]","[-3.212073853464494e-05, 1.9076680067247733]","[-0.0001471146258445853, -0.8654821676253307]","[0.0017842159407088377, -0.10452725747393027]","[0.0009283188942894921, -1.532974656421894]","[0.0004313687910989145, 0.5661116816160959]","[-0.00013553747729765466, 2.993511373672186]","[-0.0009778661514171897, 3.2460090025629067]","[-0.0004800859741178411, 1.737195957973154]","[-0.00116916961024382, -2.2067282930854524]","[0.0008286909190735289, -2.705842458632303]","[-0.0007872849524760078, -1.282166760734882]"
"[-0.001359192042430078, -0.35540144950051467]","[0.00038993068349377045, -0.18793117770609488]","[0.0011876952669620216, -2.2840285935196483]","[6.272030648670983e-05, -2.947482732653574]","[-5.328487901174462e-05, -2.9476426749114157]","[0.0012998746613867972, 1.9890731267623492]","[-0.00046358454276261416, 3.160920311825875]","[0.00021671006390239832, 3.0770296223303375]","[0.0005867098711704095, -0.10576474377070237]","[-0.0013480708668345226, -1.5230272317404616]","[-0.0013176416846577648, -1.0235743728696]","[0.0005249981563558494, -1.5276436139202954]","[0.0009686470608923637, 1.2334512862895877]","[-0.001445456631001033, 1.7383324293503626]","[0.0002127356984180913, 1.9071475814713885]","[-7.3458617254877065e-06, -0.8608843265435348]","[0.0018377206946617222, -0.1018061728891252]","[0.0006299335958624274, -1.525626293430386]","[0.00048802217611076525, 0.5678623081165453]","[1.9322292582224113e-05, 2.9912284030597296]","[-0.0010379074986469233, 3.243128681841067]","[-0.0005222047669560238, 1.737797988147331]","[-0.001034656004814327, -2.1995439721032235]","[0.0009302958149488996, -2.697690960954269]","[-0.0007659715643939311, -1.3579234226817272]"
"[-0.001180626268401332, -0.3528918290757131]","[0.0005509851656945609, -0.1850015407794082]","[0.0011492647304796808, -2.285898100268361]","[0.00015236782079881204, -2.9489517321078944]","[0.00039193843771457096, -2.9509177497898014]","[0.0008133870271049244, 1.9959237618293264]","[-0.0006298442040224205, 3.170531383631722]","[0.00044653837700623224, 3.085461055904685]","[0.0009076167241438451, -0.18053598371861612]","[-0.0013951059907780481, -1.5232322544482444]","[-0.0013590489229659138, -1.023119178018486]","[0.0006405142562643508, -1.5274735565100317]","[0.0008731379760840334, 1.160437578674431]","[-0.0013826149354226034, 1.745277027451489]","[0.0003470059454669137, 1.9138562036532336]","[1.615901702217304e-05, -0.8593197113053335]","[0.0015208502483235547, -0.09960484630000704]","[0.00036220609984100705, -1.5255412503639232]","[0.00038726932130095815, 0.5710573325972631]","[0.00034272520640468864, 2.9997331089430936]","[-0.001112522820757119, 3.252441621307424]","[-0.0006786175287991585, 1.7439725375879973]","[-0.0011219679289242843, -2.2006040061153023]","[0.0008407270750032323, -2.699823971132902]","[-0.0008823448285826622, -1.2757759016466623]"
"[-0.0012446612629794292, -0.2762961551878353]","[0.0014209956547029763, -0.18921439664193457]","[0.0009028030255864982, -2.3655622486710643]","[-0.00012610494750237196, -2.9485559729787774]","[0.00037585640871468584, -2.9479379117170406]","[0.0009507927523222873, 1.988139817173275]","[-0.000802577259229909, 3.161587904255157]","[0.0005939048287950119, 3.0785276903357417]","[0.0011600252550430022, -0.10533562960713316]","[-0.0016549353636828737, -1.4446231632438997]","[-0.0016920407242762012, -1.0255878718957618]","[0.0002507547970226522, -1.5292165788567944]","[0.0007507334531397045, 1.1558966692305164]","[-0.001678919270274627, 1.7408333596041305]","[0.00032216058351713185, 1.9074484315782423]","[-3.038750389504255e-05, -0.8599172092371373]","[0.0009689266932177244, -0.10146725880557701]","[0.00010677132536814422, -1.5262853001497891]","[0.0005934351165656497, 0.5651432760274246]","[0.0009348206309976874, 2.9953689378410533]","[-0.0005079009578698413, 3.2465135216985512]","[-0.0005809569301275163, 1.7374020707998248]","[-0.0008330208999293207, -2.199304257078635]","[0.0007857112936353325, -2.6984070189833194]","[-0.0009661866988613575, -1.3591507054892138]"
"[-0.001403358557046039, -0.353901156475725]","[0.0015201537761085548, -0.18924631673835693]","[0.0004715679078839458, -2.3595683859538195]","[-0.00015336445728160423, -2.944346472823506]","[0.0004409710856544258, -2.9432423579797597]","[0.000551777907797372, 1.9043541384538198]","[-0.00015814827257749282, 3.1583841079403014]","[0.00047198740729645063, 3.073485615173454]","[0.001191885497742264, -0.10429912018484265]","[-0.0018143129282299515, -1.4409959749330787]","[-0.0020822636595497126, -1.0247928955896057]","[8.201276296694722e-05, -1.5283958941831546]","[0.0009590433476395751, 1.1541589975854232]","[-0.0017453685327208218, 1.815606098388795]","[0.00016020231673035014, 1.9851069648995523]","[-0.0002159231395114933, -0.8589438390031572]","[0.00099381423658581, -0.10197400140934913]","[0.0005255891587595696, -1.5236458138695]","[0.000958487820072902, 0.5646970675519496]","[0.0011764829252087527, 2.988080603025268]","[-0.0008680268906606904, 3.239728198356174]","[-0.00040649668100952737, 1.7365316044316152]","[-0.0009112800387028566, -2.195251550495922]","[0.001039092587007166, -2.69385364427448]","[-0.0007845255801638928, -1.3576759718921165]"
"[-0.001370232807787602, -0.342932775130533]","[0.001164213290022866, -0.1797860621180954]","[0.0010392434884086723, -2.342137812201825]","[-0.0006147866070160267, -2.926246192757728]","[0.00014598546666749114, -2.923991216080837]","[0.0005216458224351677, 1.9077475522256033]","[0.00021144240746790897, 3.156118175375763]","[6.826963128304197e-05, 3.0742399479646814]","[0.000755665645319686, -0.09387751901884352]","[-0.001707848776031907, -1.426745443675204]","[-0.0022101259053290425, -1.0935040679840926]","[-0.0002975193228670036, -1.5895736928124984]","[0.0010192541608798186, 1.160596347787264]","[-0.0015274982400326792, 1.8191514847166055]","[0.00025708638042642735, 1.989217019601821]","[-0.00033914874252141577, -0.8455969323978817]","[0.001848189253571104, -0.09156865592405457]","[0.0009773317565841763, -1.5107873806770078]","[0.0015673497264817066, 0.5728489349019799]","[0.00048087923780832666, 2.986938125411678]","[-0.0010483071626600543, 3.2388255739739558]","[-0.0004964606351141314, 1.7404210008519099]","[-0.00099114197165756, -2.1791556712224267]","[0.001154320080486956, -2.6764336140161245]","[-0.0006078061768259394, -1.4237671267941001]"
"[-0.0013442845845324008, -0.33987160986722187]","[0.00047031531832137676, -0.17537679832834382]","[0.001316970015866749, -2.3312708566011393]","[-0.0002510973417575542, -2.914056497902097]","[-0.0001846963318622233, -2.91168103596266]","[0.0009569158158189966, 1.9047168452972605]","[0.0001907547518014655, 3.150030870601081]","[-8.700158840803988e-05, 3.0674766726398306]","[0.0006121431952437181, -0.09036923063131326]","[-0.0016634710266502104, -1.4976806628968204]","[-0.002093896668615303, -1.1688802444673267]","[-0.00036170236881579446, -1.5817886616907315]","[0.001075122410302378, 1.2383400097147805]","[-0.0015839470820665684, 1.818785029829946]","[0.00010414999867012267, 1.9861774307135676]","[-0.00014988676704370086, -0.8412368293984345]","[0.0017025716446188398, -0.08944885405587864]","[0.0005451363660372451, -1.5021344725710055]","[0.0012288190530738955, 0.5733026075501784]","[0.00045965252039890464, 2.984626328272604]","[-0.000461663500270163, 3.2331028408734332]","[-0.0003879340614534663, 1.7366731158802344]","[-0.0005876663560602695, -2.1691021492673683]","[0.0010906856343219976, -2.6644268531355157]","[-0.0005959890469400151, -1.4159069945970715]"
"[-0.001238751485691382, -0.33576108446465003]","[0.0013341417352988351, -0.17261276515749316]","[0.001109064283945261, -2.331973194539546]","[-0.0001396127752130223, -2.9141729548913813]","[-0.00028253456706342375, -2.8341082522763195]","[0.0010559841847853516, 1.910027026785357]","[-0.000518154405274965, 3.156926733595449]","[0.0004578251114301286, 3.0699907305610727]","[0.000454286375056851, -0.08663234776676225]","[-0.0013822487126086335, -1.4180064069673575]","[-0.0018795694155731473, -1.3319722015409041]","[-0.0006361772732130404, -1.5801758809397461]","[0.0009671911467890536, 1.2433819886569222]","[-0.0013906275393303846, 1.826788345485774]","[-0.00015293958635828093, 1.9928228047998022]","[-0.0001915230754541376, -0.8383308076792885]","[0.0010734166494174458, -0.08654415477125342]","[0.0004244252701321969, -1.5001126320553793]","[0.0007259712275075248, 0.4991464975566567]","[0.0012814572477473853, 2.9912305089565043]","[-0.0006566847189836152, 3.240553076413752]","[-0.0002331096163051186, 1.743409136885655]","[-0.0007915977418608487, -2.244968381585597]","[0.0011842418468236207, -2.664830519781299]","[-0.0005744741660036707, -1.3340752652799608]"
"[-0.0014453664697320339, -0.3097756591950904]","[0.0009200380909350649, -0.2229279321953233]","[0.0003445097345351426, -2.2987073851672015]","[-0.0005590783949609306, -2.8793086061068074]","[5.638484382865099e-05, -2.8751953254801825]","[0.000464189900525396, 1.8500225841418096]","[-6.246544763677421e-05, 3.1714802546980145]","[0.0003410827299632952, 3.086081035959766]","[0.0008682331737226641, -0.13898494709598763]","[-0.0015871062094549935, -1.465331815870904]","[-0.0018145512407295862, -1.3841834860441244]","[-0.0006243583997702295, -1.550859951844428]","[0.0010716080716203077, 1.1862803688436618]","[-0.0017208357739348953, 1.8446341334089613]","[-8.26908100617635e-05, 2.0105453040110963]","[-0.0003866945953694567, -0.8102449202714155]","[0.001700430404181158, -0.061123765350680224]","[0.0010793739997020809, -1.472189536817019]","[0.0015616357759821056, 0.523013264255292]","[0.0011630970227864538, 3.0063870084275504]","[-0.0008294505721107278, 3.2549626141701875]","[-0.00041158045768274255, 1.762033432631966]","[-0.0007465376197272951, -2.2120474814053446]","[0.001245216879175136, -2.6301487686986915]","[-0.0005450846357860149, -1.3844104190050956]"
"[-0.0007259357921417218, -0.30863211793202006]","[0.0005287890671832676, -0.21925939991907015]","[0.0013606625032190453, -2.2171156368839102]","[-0.00024410203195942998, -2.878893169395634]","[-0.00030057644954962733, -2.8734506712543495]","[0.00036950033707342195, 1.8528560671881287]","[0.0004012597666200862, 3.1755657237483015]","[-7.552701826080617e-05, 3.0915253592311354]","[0.0004727128218826928, -0.0583680244564215]","[-0.002038241837056262, -1.4623291637860567]","[-0.0023275545775249336, -1.462062014711662]","[-0.00012053558356784654, -1.548825077571122]","[0.0011303538009767749, 1.2680276130036272]","[-0.002099107472267083, 1.8491401346741256]","[-0.0003064093905317271, 1.936553437414481]","[-0.00020938084218261185, -0.8835325782143792]","[0.0015774852421068753, -0.13518328670117097]","[0.0005375214950042533, -1.4692982280667393]","[0.0016956801387334808, 0.5250053609901475]","[0.0006111446835989255, 3.0123120354939896]","[-0.0003864439078183061, 3.2604911101538785]","[-0.00010338869963583437, 1.7660273040138086]","[-0.0004615720367019542, -2.2104093738626687]","[0.0012262133079352687, -2.628947432592777]","[-0.0005125475251359437, -1.3811979705636546]"
"[-0.0007816508363553826, -0.36241299345983097]","[0.0009913442067999792, -0.19443936367507036]","[0.0011075100365476574, -2.2715434303239315]","[-3.2423339970202094e-05, -2.852737699722444]","[-0.00024638718866350716, -2.8483535933020594]","[0.0008998884448942465, 1.8806398935145856]","[-0.0004060160772981532, 3.125237919827171]","[3.919658349176491e-05, 3.03497849754589]","[-0.0002836269432326746, -0.11074305021142776]","[-0.0018388913014950917, -1.4403270036513367]","[-0.002211349267617036, -1.4439594799191635]","[0.00012228600394356142, -1.5238406057338432]","[0.0008081976097519951, 1.2171945673444868]","[-0.0018262568230841207, 1.8774458278887973]","[-0.00035147719828733327, 1.9625796642294215]","[-0.00011159959349279923, -0.8602947399677752]","[0.0012830342186894036, -0.1115763687857103]","[0.0014144099476883078, -1.5204038916600908]","[0.0010289530924353267, 0.5505725766325174]","[0.0017430952002181511, 3.039355836878084]","[-0.0007248905624629206, 3.2877224743627713]","[-0.000407204660449869, 1.7918324950135511]","[-0.0006478063663384189, -2.186901174603983]","[0.0011681627078464134, -2.683474939637444]","[-0.0007364978935593033, -1.35655141858318]"
"[-0.0006544819255929242, -0.3569567585263116]","[5.809027572316572e-05, -0.19218924228812212]","[0.00034611354681503395, -2.3354700352523174]","[-0.0007081830571215977, -2.833763542560681]","[0.0002122672175904256, -2.830769963116847]","[0.0006455413377805136, 1.8710051292544425]","[0.00036139811942470377, 3.1876773093170763]","[0.00033796947290133786, 3.02377739277319]","[0.00019201077000128205, -0.10738942330286912]","[-0.001688377507025979, -1.4289677474540092]","[-0.0020847953508151685, -1.5097573812594436]","[0.00014529335787825522, -1.5130619507322054]","[0.0003092807403677772, 1.2124166902815694]","[-0.0017865147711836988, 1.8700851371132257]","[2.238027185813155e-05, 1.956584586302942]","[-0.00033559848185655823, -0.8509204386622187]","[0.0018246248688360285, -0.10725099188350104]","[0.001409808458987978, -1.5096607676646763]","[0.002114704107866916, 0.5499031437720308]","[0.0011901287541028144, 3.0257750350610153]","[-0.0007802076508574781, 3.2742507808629826]","[-0.0004477829826679535, 1.7865802286966448]","[-0.001067929567744586, -2.1707813480168237]","[0.0011127332961755499, -2.6645993867636037]","[-0.0007284733014439854, -1.3465164559515075]"
"[-0.0003299909692744564, -0.3576734684720858]","[0.0007097519609864394, -0.18934251426072904]","[0.0013207159416282889, -2.2690128207371005]","[-0.000421713516203828, -2.8522686477560573]","[-0.0004361389652918548, -2.8495248136311413]","[0.00023655012044178158, 1.888511485425098]","[0.0003949954541162974, 3.1394237677545056]","[3.443490636523416e-05, 2.9678985353341782]","[-0.00019143703293576184, -0.10557153898995693]","[-0.0017557520681407593, -1.4371753089703285]","[-0.0019532981354473435, -1.5228454146212937]","[-1.752754972737667e-05, -1.521535736338192]","[0.00042649418703544147, 1.2239814995367706]","[-0.001909090930953109, 1.8870080677510046]","[0.00013247101137798766, 1.9758104550058235]","[-0.00020376332329034174, -0.8558728593610425]","[0.0010275706475862648, -0.10523249505572196]","[0.0008814194405002463, -1.5185666801712487]","[0.0017015557438944042, 0.5569968355645823]","[0.0011636082422255593, 3.0535991549392247]","[-0.0004253376158468361, 3.303472597076475]","[-0.00020390900623083332, 1.804037236165027]","[-0.000662580392451136, -2.1827479351557915]","[0.0011869562984221354, -2.6011838500766333]","[-0.0007059844487864265, -1.432185550955345]"
"[-0.00027166968854829335, -0.4865051694498039]","[0.0006535860820356273, -0.1562153826221961]","[0.0011380897727678045, -2.310366882371332]","[-0.0002638861975819992, -2.8891618664384318]","[7.141395862706216e-05, -2.8077967914558464]","[0.0009586838418022495, 1.9178754477417563]","[-0.00030199654541563265, 3.161398806982974]","[-0.0003163943536597649, 2.8275375943191037]","[-0.0005707678901055238, -0.07603643811807714]","[-0.0020359339267883502, -1.4787547281572657]","[-0.0022829539264629245, -1.5641995706097422]","[-0.00013173279838819856, -1.4839950400594863]","[0.0004991863247729296, 1.250780604677755]","[-0.0020748598675578824, 1.8361603749582394]","[-6.135231387117108e-05, 2.0007800302928525]","[-0.00017570504365822822, -0.822934641839129]","[0.0015531285174115758, -0.0756289924022343]","[0.0018456746319034183, -1.4821335345141189]","[0.0010070301167019143, 0.5857925069975666]","[0.001926510734994066, 3.077123198563402]","[-0.00045907314469569054, 3.325733636520967]","[-0.00040358076706634144, 1.829449106780932]","[-0.0006914285005182027, -2.14398227260885]","[0.0010830264064515581, -2.640365084824095]","[-0.0006949954231500005, -1.3945549123649297]"
"[-0.00021330691765825764, -0.5472295361272239]","[-5.651272123923064e-05, -0.1381855388281578]","[0.000528025825846853, -2.3649903604571385]","[-0.0006341436913264806, -2.862493211773692]","[-0.00016736575002021298, -2.7798858321213094]","[0.0009751459816920231, 1.9295952765376483]","[0.00025480855012363125, 3.247633741386533]","[-9.1872108791159e-05, 2.675187358535393]","[9.129100382398692e-05, -0.1328350419130139]","[-0.0019001251896146839, -1.4568390365118649]","[-0.00225781247890862, -1.538972388509866]","[-0.0005208693918489416, -1.459839607501784]","[0.00022519498080464205, 1.2654435517944427]","[-0.0019150588654015214, 1.8501723039807418]","[0.0002836541931386271, 2.0143735584731948]","[-1.6813657132177134e-05, -0.8790243506306451]","[0.0014402856175541531, -0.1317849623781296]","[0.0014199689381651495, -1.4606644637450434]","[0.0017749059797657139, 0.5276986727737021]","[0.0015800820425148992, 3.1642626237772933]","[-0.00033449734361343676, 3.3345785943880966]","[-0.00012368700418597734, 1.8435147419800133]","[-0.0004143579194916377, -2.116907867224842]","[0.0008909654678785059, -2.612056942645374]","[-0.0008179055420758295, -1.3707512832589854]"
"[-9.451777420259498e-05, -0.6314695136149218]","[0.0011481755114572444, -0.13891751374685582]","[0.0011477891958372724, -2.295689850663808]","[-0.0007486351271423666, -2.8755046136132467]","[-0.0004244539825459399, -2.795179618132531]","[0.00019209913517063504, 1.9374887214405272]","[0.0005835454799536332, 3.2641672722400443]","[0.0004113998393610136, 2.688562756379085]","[0.0005123207807965905, -0.13282895288722435]","[-0.0018243843372931705, -1.4635083507075304]","[-0.002258226223891436, -1.548901504870449]","[-0.0005162960346436901, -1.465999872990995]","[0.00023732356520550193, 1.2725598432174476]","[-0.0017807372839951088, 1.8589709501005935]","[0.0005121583204380693, 2.025181407524617]","[4.828095166380389e-07, -0.8851738963197545]","[0.00045377082321510913, -0.13439969519636516]","[0.001113700856656856, -1.4682075203559053]","[0.0014393894822544448, 0.5297186645199039]","[0.0015160896622158342, 3.1029098760014335]","[-0.0006597381413112979, 3.34993812028949]","[-0.0002757234133936784, 1.853770284216203]","[-0.0003107185080635159, -2.1255883240835813]","[0.0006711012232899335, -2.6231519010913105]","[-0.0010459158588859735, -1.2987467676548694]"
"[-8.858348249400677e-05, -0.6134302652131409]","[0.0013884531117375595, -0.12283499418641826]","[0.00107028801214959, -2.344626421640192]","[-0.00036659071916176304, -2.843972984572809]","[-0.0008058236225978805, -2.7619454837103747]","[0.00021401656122355779, 1.9409770620885332]","[-1.6578319322942352e-05, 3.1846227318816474]","[0.0002157456989663529, 2.688751116251294]","[0.0002525504239835998, -0.11635227092045287]","[-0.0018553060336203187, -1.4393483383293058]","[-0.0024097866247236232, -1.60311592394259]","[-0.0006641244456166429, -1.4421629014554544]","[0.00011406169818605345, 1.2816637272724107]","[-0.0019148880649302806, 1.8643600013065387]","[0.00046136774400072736, 2.0279161101822027]","[0.00013243449074956396, -0.944181324738388]","[0.0008208519135598536, -0.11782587927850817]","[0.0015577236810334746, -1.5204751405410566]","[0.0005776198710733383, 0.542098815560917]","[0.002038567598978213, 3.1775968979031566]","[-0.0005298628138776234, 3.345183561146287]","[-0.0001354570085043159, 1.8569189039159935]","[-0.00015231657086077656, -2.0964104071476686]","[0.0008411969745259768, -2.5921589817670423]","[-0.0007455600744576963, -1.3512476100655713]"
